Area_m2,Probability_P(A_L_greater_than_Area)
631,0.8998052133550782
632,0.8994424027986452
633,0.8990792589144728
634,0.898715783764344
635,0.8983519794054649
636,0.8979878478904475
637,0.8976233912672963
638,0.897258611579394
639,0.8968935108654865
640,0.8965280911596698
641,0.8961623544913754
642,0.8957963028853573
643,0.8954299383616801
644,0.8950632629357042
645,0.8946962786180753
646,0.8943289874147109
647,0.8939613913267882
648,0.8935934923507343
649,0.8932252924782119
650,0.8928567936961107
651,0.8924879979865351
652,0.8921189073267946
653,0.8917495236893924
654,0.8913798490420151
655,0.8910098853475247
656,0.8906396345639471
657,0.8902690986444635
658,0.8898982795374013
659,0.8895271791862255
660,0.8891557995295291
661,0.8887841425010259
662,0.8884122100295411
663,0.8880400040390055
664,0.8876675264484449
665,0.887294779171975
666,0.8869217641187932
667,0.8865484831931717
668,0.8861749382944506
669,0.8858011313170323
670,0.8854270641503736
671,0.8850527386789799
672,0.8846781567824017
673,0.8843033203352251
674,0.8839282312070693
675,0.8835528912625794
676,0.8831773023614228
677,0.8828014663582838
678,0.8824253851028587
679,0.8820490604398509
680,0.8816724942089685
681,0.8812956882449173
682,0.8809186443774008
683,0.880541364431112
684,0.880163850225734
685,0.8797861035759341
686,0.8794081262913621
687,0.8790299201766459
688,0.8786514870313911
689,0.8782728286501753
690,0.8778939468225485
691,0.8775148433330301
692,0.8771355199611051
693,0.8767559784812259
694,0.8763762206628064
695,0.8759962482702232
696,0.875616063062814
697,0.875235666794876
698,0.8748550612156638
699,0.8744742480693906
700,0.8740932290952261
701,0.8737120060272968
702,0.8733305805946838
703,0.8729489545214261
704,0.8725671295265165
705,0.8721851073239044
706,0.8718028896224949
707,0.8714204781261495
708,0.871037874533687
709,0.8706550805388829
710,0.8702720978304727
711,0.869888928092149
712,0.8695055730025659
713,0.86912203423534
714,0.8687383134590492
715,0.8683544123372375
716,0.8679703325284149
717,0.8675860756860582
718,0.8672016434586148
719,0.8668170374895043
720,0.86643225941712
721,0.8660473108748328
722,0.8656621934909899
723,0.8652769088889223
724,0.8648914586869441
725,0.8645058444983557
726,0.8641200679314478
727,0.863734130589505
728,0.8633480340708051
729,0.862961779968627
730,0.8625753698712522
731,0.8621888053619677
732,0.8618020880190699
733,0.8614152194158694
734,0.8610282011206929
735,0.8606410346968889
736,0.8602537217028312
737,0.8598662636919223
738,0.8594786622125982
739,0.8590909188083332
740,0.8587030350176443
741,0.8583150123740939
742,0.8579268524062973
743,0.8575385566379247
744,0.8571501265877086
745,0.8567615637694477
746,0.8563728696920105
747,0.8559840458593422
748,0.8555950937704693
749,0.8552060149195054
750,0.8548168107956552
751,0.8544274828832222
752,0.8540380326616122
753,0.8536484616053392
754,0.8532587711840333
755,0.852868962862443
756,0.8524790381004446
757,0.8520889983530455
758,0.8516988450703928
759,0.8513085796977748
760,0.850918203675635
761,0.8505277184395695
762,0.8501371254203403
763,0.8497464260438782
764,0.8493556217312904
765,0.8489647138988663
766,0.8485737039580861
767,0.8481825933156255
768,0.8477913833733626
769,0.8474000755283867
770,0.8470086711730026
771,0.8466171716947405
772,0.8462255784763597
773,0.8458338928958588
774,0.8454421163264818
775,0.8450502501367247
776,0.8446582956903435
777,0.8442662543463608
778,0.8438741274590758
779,0.843481916378068
780,0.8430896224482074
781,0.8426972470096613
782,0.8423047913979027
783,0.8419122569437166
784,0.8415196449732082
785,0.8411269568078131
786,0.8407341937643018
787,0.8403413571547887
788,0.8399484482867421
789,0.8395554684629895
790,0.8391624189817266
791,0.8387693011365278
